what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1271691057601
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1271691057602
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1271691057679
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1271691057680
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1271691057681
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1271691057682
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1271691057732
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1271691057813
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1271691057814
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1271691057814
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1271691057860
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1271691057907
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1271691057908
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1271691058031
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1271691058032
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1271691058032
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1271691058032
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1271691058058
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1271691058058
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1271691058158
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1271691058159
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1271691058160
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1271691058174
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1271691058233
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1271691058282
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1271691058283
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1271691058284
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1271691058285
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1271691058286
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1271691058335
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1271691058335
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1271691058393
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1271691058505
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1271691058546
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1271691058547
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1271691058548
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1271691058625
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1271691058626
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1271691058626
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271691058656
os,sysinfo,,,"macosx",1271691058659
arch,sysinfo,,,"x86",1271691058659
ws,sysinfo,,,"cocoa",1271691058659
locale,sysinfo,,,"de_DE",1271691058659
processors,sysinfo,,,"2",1271691058659
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271691058659
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1271691058659
java.specification.name,sysinfo,,,"Java Platform API Specification",1271691058659
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271691058659
java.specification.version,sysinfo,,,"1.6",1271691058659
java.vendor,sysinfo,,,"Apple Inc.",1271691058659
java.version,sysinfo,,,"1.6.0_17",1271691058659
java.vm.info,sysinfo,,,"mixed mode",1271691058659
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271691058659
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271691058659
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271691058659
java.vm.specification.version,sysinfo,,,"1.0",1271691058659
java.vm.vendor,sysinfo,,,"Apple Inc.",1271691058659
java.vm.version,sysinfo,,,"14.3-b01-101",1271691058659
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1271691059819
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1271691060306
